Ticker,Company_Name,Currency,Data_Date,Industry,Sector,Country,Total_ESG_Score,Environmental_Score,Social_Score,Governance_Score,ESG_Performance,Highest_Controversy,Stock_Price,Current_Price,Market_Cap,PE_Ratio,PB_Ratio,Annual_Return_Pct,Revenue,Net_Income,Operating_Margin_Pct,Gross_Margin_Pct,ROE_Pct,ROA_Pct,Profit_Margin_Pct,EBITDA_Margin_Pct,EPS,Beta,Debt_to_Equity,Current_Ratio,Operating_Cash_Flow,Revenue_Growth_Pct,Status
VETN.SW,Vetropack Holding AG,CHF,12/31/24,Packaging & Containers,Consumer Cyclical,Switzerland,22.18,15.43,0.74,6.01,AVG_PERF,0,22.92,23.25,460908000,32.75,0.62,-23.49,816800000,14100000,5.48,62.02,1.87,2.15,1.73,14.96,0.71,0.941,34.18,1.77,97900000,-6.31,Success
VILN.SW,Villars Holding S.A.,CHF,12/31/24,Grocery Stores,Consumer Defensive,Switzerland,,,,,,,582.45,600,62640000,24.15,0.58,1.69,69108000,2474000,5.51,42.01,2.68,1.98,3.58,10.84,24.84,0.182,40.04,3.39,4041000,-2.45,Success
VPBN.SW,VP Bank AG,CHF,12/31/24,Banks - Diversified,Financial Services,Liechtenstein,28.06,,,,AVG_PERF,0,76.43,80,499402240,13.96,0.44,14.12,343064000,35753000,18.5,0,3.2,0.31,10.42,,5.73,0.335,,,76235000,-9.13,Success
VZN.SW,VZ Holding AG,CHF,12/31/24,Asset Management,Financial Services,Switzerland,25.56,,,,AVG_PERF,0,148.93,150.8,5946652160,26.27,5.64,7.8,605134976,227450000,44.62,65.72,22.62,2.37,37.59,48.66,5.74,0.609,67.69,0.4,547550976,13.39,Success
WARN.SW,Warteck Invest AG,CHF,12/31/24,Real Estate Services,Real Estate,Switzerland,,,,,,,1845.72,1920,594000000,16.79,1.15,13.01,44457000,34862000,78.66,85.24,6.85,2.02,78.42,78.37,114.37,0.074,91.91,0.19,21552000,10.78,Success
BCVN.SW,Banque Cantonale Vaudoise,CHF,12/31/24,Banks - Regional,Financial Services,Switzerland,22.3,0.4,10.94,10.96,AVG_PERF,1,83.27,92.35,7933766144,18.29,2.02,2.2,1154000000,434000000,43.29,0,11.62,0.71,37.61,,5.05,0.134,,,,-0.87,Success
YPSN.SW,Ypsomed Holding AG,CHF,12/31/24,Medical Instruments & Supplies,Healthcare,Switzerland,18.68,2.37,9.47,6.85,LAG_PERF,0,342.68,311.5,4250658304,48.75,6.25,-23.36,748865984,87504000,17.03,39,13.49,6.35,11.68,23.56,6.39,1.149,39.28,0.86,148200000,36.54,Success
ZUGER.SW,Zuger Kantonalbank,CHF,12/31/24,Banks - Regional,Financial Services,Switzerland,31.93,,,,LEAD_PERF,0,8422.02,8660,2490616064,18.71,1.61,4.57,328967008,133347000,49.03,0,8.75,0.69,40.53,,462.84,-0.03,,,,2.07,Success
ZUBN.SW,Züblin Immobilien Holding AG,CHF,12/31/24,Real Estate Services,Real Estate,Switzerland,,,,,,,35.4,45.4,150530384,17.33,1.06,51.68,9431000,8685000,73.67,95.98,6.24,1.75,92.09,69.69,2.62,0.068,45.04,0.25,6728000,4.34,Success
ZUGN.SW,Zug Estates Holding AG,CHF,12/31/24,Real Estate - Diversified,Real Estate,Switzerland,19.52,,,,LAG_PERF,0,1994.34,2100,1071000000,11.33,1,13.37,90424000,94509000,61.8,88.9,9.14,1.83,104.52,63.67,185.29,0.413,62.62,0.12,47072000,4.72,Success
ZWM.SW,Zwahlen & Mayr SA,CHF,12/31/24,N/A,N/A,N/A,,,,,,,125,146,10249200,,0.32,,,,,,,,,,,,,,,-24.34,Success
GLKBN.SW,Glarner Kantonalbank,CHF,12/31/24,Banks - Regional,Financial Services,Switzerland,27.69,,,,AVG_PERF,0,20.93,20.9,282149984,13.84,0.65,-3.67,95047000,21617000,25.61,0,5.04,0.24,22.74,,1.51,,,,,-3.16,Success
WIHN.SW,WISeKey International Holding AG,CHF,12/31/24,Semiconductors,Technology,Switzerland,,,,,,,14.45,12.72,71548960,,1.69,291.42,11994000,-8426000,-516.04,46.28,-53.6,-24.62,-70.25,-332.76,-0.93,0.532,3.93,6.05,-24844000,-61.59,Success
VACN.SW,VAT Group AG,CHF,12/31/24,Specialty Industrial Machinery,Industrials,Switzerland,24.78,10.58,9.53,4.66,AVG_PERF,0,332.09,332.4,9964018688,44.62,14.36,-7.43,1050556992,223370000,24.72,63.69,33.02,13.11,21.26,29.89,7.45,1.293,59.07,1.49,268756000,6.43,Success
IREN.SW,Investis Holding SA,CHF,12/31/24,Real Estate Services,Real Estate,Switzerland,26.72,,,,AVG_PERF,0,108.22,130,1659843968,9.03,1.2,19.72,74981000,183740992,62.83,73.1,14.02,1.49,245.05,62.66,14.39,0.138,46.14,0.08,52086000,-34.04,Success
GIVN.SW,Givaudan SA,CHF,12/31/24,Specialty Chemicals,Basic Materials,Switzerland,15.41,7.71,4.15,3.56,LAG_PERF,2,3870.5,3525,32532920320,29.91,7.92,-18.49,7538999808,1094000000,19.57,44.13,25.99,7.6,14.51,22.4,117.85,0.546,116.46,1.38,1446000000,7.19,Success
PKTM.SW,PIERER Mobility AG,CHF,12/31/24,Auto Manufacturers,Consumer Cyclical,Austria,8.88,,,,LAG_PERF,0,15.42,11.74,404861696,,0.75,-38.32,1297320960,-77165000,-60.37,-10.13,-26.87,-17.08,-5.95,-30.28,-2.12,0.857,172.46,3.16,-84062000,-29.39,Success
VARN.SW,Varia US Properties AG,CHF,12/31/24,Real Estate Services,Real Estate,Switzerland,,,,,,,29.36,20.1,203532960,,0.59,-39.46,122918392,-19979916,35.73,51.31,-5.43,2.28,-16.25,,-0.54,0.311,220.03,0.67,46063612,-12.45,Success
GALE.SW,Galenica AG,CHF,12/31/24,Medical Distribution,Healthcare,Switzerland,12.32,2.12,5.79,4.4,LAG_PERF,0,75.52,88.35,4402216960,22.89,3.05,17.52,4028026112,192395008,5.28,11.98,13.52,4.34,4.78,6.27,3.86,0.31,57.89,1.29,329812000,4.67,Success
IDIA.SW,Idorsia Ltd,CHF,12/31/24,Biotechnology,Healthcare,Switzerland,22.86,,,,AVG_PERF,0,0.79,3.985,813484096,,-0.71,236.74,217224000,-133300000,-3.1,26.22,,-18.52,-61.37,-70.89,-0.75,1.541,,0.72,-250652000,-26.17,Success
DOCM.SW,DocMorris AG,CHF,12/31/24,Pharmaceutical Retailers,Healthcare,Switzerland,23.2,,,,AVG_PERF,0,19.48,6.2,298215296,,0.6,-79.06,1062236992,-120874000,-9.81,21.68,-27.47,-7.7,-11.38,-9.2,-4.58,1.489,64.65,3.25,-70516000,4.91,Success
LAND.SW,Landis+Gyr Group AG,CHF,12/31/24,Electrical Equipment & Parts,Industrials,Switzerland,12.72,,,,LAG_PERF,0,59.17,62.4,1798343552,,1.37,-12.87,1729319040,-85787000,4.91,29.49,-5.91,2.19,-8.7,9.1,-2.38,1.08,33.35,1.58,78891000,-11.05,Success
ASWN.SW,Asmallworld AG,CHF,12/31/24,Travel Services,Consumer Cyclical,Switzerland,,,,,,,1.38,0.88,12726082,,3.17,-39.29,17909400,-54600,0.38,19.15,-1.35,1.3,-0.31,2.2,-0.01,1.3,69.64,1.13,-183300,-1.75,Success
SENS.SW,Sensirion Holding AG,CHF,12/31/24,Scientific & Technical Instruments,Technology,Switzerland,26.17,,,,AVG_PERF,0,61.6,58.3,908293248,51.59,3.04,-10.06,333076000,17563000,14.23,51.15,6,6.97,5.27,16.61,1.13,0.919,,4.11,58368000,18.58,Success
MED.SW,Medartis Holding AG,CHF,12/31/24,Medical Devices,Healthcare,Switzerland,27.32,,,,AVG_PERF,0,61,79.4,986019776,,3.77,34,236344000,-487000,6.75,79.11,-0.14,2.47,-0.21,14.11,-0.05,1.101,47.43,5.31,31359000,6.05,Success
KLIN.SW,Klingelnberg AG,CHF,12/31/24,Specialty Industrial Machinery,Industrials,Switzerland,,,,,,,13.22,10.3,91052000,9.81,0.64,-31.1,309068992,9985000,8.43,57.4,7.03,3.34,3.23,6.71,1.05,1.163,29.03,1.8,18970000,1.84,Success
